employment_area,Frequency,Proportion
 Prof-specialty,1662,0.2198994442974332
 Exec-managerial,1392,0.18417570785922202
 Craft-repair,999,0.13217782482138132
 Sales,961,0.12715003969304048
 Adm-clerical,674,0.08917703096057158
 Other-service,515,0.06813971950251389
 Machine-op-inspct,373,0.04935168033871395
 Transport-moving,323,0.04273617359089706
 Handlers-cleaners,196,0.02593278645144218
 Tech-support,184,0.024345064831966128
 Farming-fishing,147,0.019449589838581634
 Protective-serv,112,0.014818735115109817
 Priv-house-serv,18,0.0023815824292140776
 Armed-Forces,2,0.0002646202699126753
