mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_max_depth,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.41779217720031736,0.022542707307201388,0.01860389709472656,0.001978193479675461,balanced,,20,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_split': 20}",0.8105726872246696,0.8502202643171806,0.8414096916299559,0.8546255506607929,0.8805309734513275,0.8474718334567853,0.022582882169447194,5
0.39200787544250487,0.016697978938665734,0.021334218978881835,0.0059481303857034625,balanced,,5,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_split': 5}",0.801762114537445,0.8634361233480177,0.8590308370044053,0.8502202643171806,0.8893805309734514,0.8527659740360999,0.028641231453275025,1
0.3983917236328125,0.021150259115370537,0.020572137832641602,0.005001144417235967,balanced,,10,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_split': 10}",0.7929515418502202,0.8546255506607929,0.8634361233480177,0.8634361233480177,0.8761061946902655,0.8501111067794629,0.02938861274389407,3
0.32193717956542967,0.01972033018137933,0.017900419235229493,0.003667401291908515,balanced,5,20,"{'class_weight': 'balanced', 'max_depth': 5, 'min_samples_split': 20}",0.7577092511013216,0.8149779735682819,0.8105726872246696,0.8590308370044053,0.8584070796460177,0.8201395657089392,0.037396911597797566,11
0.33290858268737794,0.017723448156663633,0.01623854637145996,0.0016107788205706902,balanced,5,5,"{'class_weight': 'balanced', 'max_depth': 5, 'min_samples_split': 5}",0.762114537444934,0.8061674008810573,0.8061674008810573,0.8678414096916299,0.8539823008849557,0.8192546099567268,0.03787935478626766,12
0.3160186767578125,0.015987535230806784,0.016155195236206055,0.0014795793267277806,balanced,5,10,"{'class_weight': 'balanced', 'max_depth': 5, 'min_samples_split': 10}",0.762114537444934,0.8105726872246696,0.8237885462555066,0.8722466960352423,0.8584070796460177,0.825425909321274,0.038759702366837345,10
0.3433743953704834,0.013260174531503764,0.017684555053710936,0.003269947878216902,balanced,10,20,"{'class_weight': 'balanced', 'max_depth': 10, 'min_samples_split': 20}",0.788546255506608,0.8325991189427313,0.8414096916299559,0.8854625550660793,0.8628318584070797,0.8421698959104909,0.03246180378060369,9
0.39205379486083985,0.034150020602259315,0.017321205139160155,0.0017160524046448368,balanced,10,5,"{'class_weight': 'balanced', 'max_depth': 10, 'min_samples_split': 5}",0.7841409691629956,0.8370044052863436,0.8502202643171806,0.8810572687224669,0.8761061946902655,0.8457058204358505,0.034814460766125065,8
0.34136505126953126,0.016458976921433326,0.01605386734008789,0.001558579182139858,balanced,10,10,"{'class_weight': 'balanced', 'max_depth': 10, 'min_samples_split': 10}",0.788546255506608,0.8325991189427313,0.8502202643171806,0.8898678414096917,0.8761061946902655,0.8474679349732955,0.035548061279273215,6
0.3651517391204834,0.025829892520018546,0.016891002655029297,0.0016669900517790103,balanced,15,20,"{'class_weight': 'balanced', 'max_depth': 15, 'min_samples_split': 20}",0.8061674008810573,0.8414096916299559,0.8414096916299559,0.8722466960352423,0.8805309734513275,0.8483528907255078,0.026390810979833,4
0.4173144340515137,0.036763472462044734,0.019800519943237303,0.00404598257603091,balanced,15,5,"{'class_weight': 'balanced', 'max_depth': 15, 'min_samples_split': 5}",0.7929515418502202,0.8502202643171806,0.8502202643171806,0.8766519823788547,0.8893805309734514,0.8518849167673774,0.03316025765394492,2
0.34133124351501465,0.05304807608076229,0.013024330139160156,0.0029630237003247946,balanced,15,10,"{'class_weight': 'balanced', 'max_depth': 15, 'min_samples_split': 10}",0.788546255506608,0.8458149779735683,0.8678414096916299,0.8590308370044053,0.8716814159292036,0.8465829792210829,0.030350132388781845,7
